Product,Price,Rating,Sold,Image,Link
Aceh Gayo Wine Process 200g Kopi Arabica,106200,4.9,16300,https://d8g5mz6srwlcs.cloudfront.net/thumbnail/66c707691f492114064292.jpg,/coffee-beans/aceh-gayo-wine-process-200g-kopi-arabica?item_list_name=Categories&item_list_id=categories_coffee&item_list_index=21
Sidikalang 200g Kopi Arabica,106200,4.8,41600,https://d8g5mz6srwlcs.cloudfront.net/thumbnail/66c8364ddfdf6877085661.jpg,/coffee-beans/kopi-arabica-sidikalang?item_list_name=Categories&item_list_id=categories_coffee&item_list_index=22
Le Naturale - Kopi House Blend 500gr,125100,4.9,7600,https://d8g5mz6srwlcs.cloudfront.net/thumbnail/670639809ebae895135992.jpg,/commercial-blend/le-naturale-kopi-house-blend-500gr?item_list_name=Categories&item_list_id=categories_coffee&item_list_index=23
Aceh Gayo Honey Process 200g Kopi Arabica,84600,4.9,34900,https://d8g5mz6srwlcs.cloudfront.net/thumbnail/66c832c54d92f598078685.jpg,/coffee-beans/gayo-honey-process-200g-kopi-arabica?item_list_name=Categories&item_list_id=categories_coffee&item_list_index=24
Kopi Kapsul - O10 Arabica Infused Fruit Candy Coffee Capsule Nespresso Compatible,74500,4.9,5800,https://d8g5mz6srwlcs.cloudfront.net/thumbnail/67220aff54b8a934963894.jpg,/capsules/kopi-kapsul-o10-arabica-infused-fruit-candy-coffee-capsule?item_list_name=Categories&item_list_id=categories_coffee&item_list_index=25
Kopi Kapsul - O10 Arabica Kerinci Honey Coffee Capsule Nespresso Compatible,74500,4.8,6300,https://d8g5mz6srwlcs.cloudfront.net/thumbnail/67220a4ab0b6f439958922.jpg,/capsules/kopi-kapsul-o10-arabica-kerinci-honey-coffee-capsule?item_list_name=Categories&item_list_id=categories_coffee&item_list_index=26
Kopi Kapsul - O10 Robusta Infused Choco Chip Cookie Coffee Capsule Nespresso Compatible,74500,5.0,6500,https://d8g5mz6srwlcs.cloudfront.net/thumbnail/67220a20cef08790544265.jpg,/capsules/kopi-kapsul-o10-robusta-infused-choco-chip-cookie-coffee-capsule?item_list_name=Categories&item_list_id=categories_coffee&item_list_index=27
Kopi Kapsul - O10 Arabica Toraja Sapan Coffee Capsule Nespresso Compatible,74500,5.0,6400,https://d8g5mz6srwlcs.cloudfront.net/thumbnail/67220983852fe380972546.jpg,/capsules/kopi-kapsul-o10-arabica-toraja-sapan-coffee-capsule?item_list_name=Categories&item_list_id=categories_coffee&item_list_index=28
Kopi Kapsul - O10 Robusta Blend Coffee Capsule Nespresso Compatible,74500,5.0,3200,https://d8g5mz6srwlcs.cloudfront.net/thumbnail/67220af252677153889814.jpg,/capsules/kopi-kapsul-o10-robusta-blend-coffee-capsule-nespresso-compatible?item_list_name=Categories&item_list_id=categories_coffee&item_list_index=29
Premium Taste - Kopi House Blend 1 kg,184500,4.9,6300,https://d8g5mz6srwlcs.cloudfront.net/thumbnail/666abb8436d75232130004.jpg,/commercial-blend/premium-taste-kopi-house-blend-1-kg?item_list_name=Categories&item_list_id=categories_coffee&item_list_index=30
Kopi Silver Blend - 500gr,84600,4.8,22900,https://d8g5mz6srwlcs.cloudfront.net/thumbnail/670638c461b48619297080.jpg,/commercial-blend/kopi-silver-blend-500gr?item_list_name=Categories&item_list_id=categories_coffee&item_list_index=31
Kopi Kapsul - O10 Robusta Aceh Gayo Coffee Capsule Nespresso Compatible,74500,5.0,3600,https://d8g5mz6srwlcs.cloudfront.net/thumbnail/6776189c48b95414455402.jpg,/capsules/kopi-kapsul-o10-robusta-aceh-gayo-coffee-capsule-nespresso-compatible?item_list_name=Categories&item_list_id=categories_coffee&item_list_index=32
Kopi Kapsul - O10 Arabica Papua Coffee Capsule Nespresso Compatible,74500,4.7,3000,https://d8g5mz6srwlcs.cloudfront.net/thumbnail/6721f1ffe463b930030156.jpg,/capsules/kopi-kapsul-o10-arabica-papua-coffee-capsule-nespresso-compatible?item_list_name=Categories&item_list_id=categories_coffee&item_list_index=33
Papua Paneli 200g Kopi Arabica,133200,4.8,5100,https://d8g5mz6srwlcs.cloudfront.net/thumbnail/66c70810ddcc3044537481.jpg,/coffee-beans/papua-paneli-full-washed-200g-kopi-arabica?item_list_name=Categories&item_list_id=categories_coffee&item_list_index=34
Flores Bajawa 200g Kopi Arabica,111600,4.9,26800,https://d8g5mz6srwlcs.cloudfront.net/thumbnail/66c837159e95f399777658.jpg,/coffee-beans/kopi-arabica-flores-bajawa?item_list_name=Categories&item_list_id=categories_coffee&item_list_index=35
Cappuccino Del Italiano - Kopi House Blend 200gr,42750,4.9,8700,https://d8g5mz6srwlcs.cloudfront.net/thumbnail/66c84a17d2d0e912579793.jpg,/commercial-blend/cappuccino-del-italiano-kopi-house-blend-200gr?item_list_name=Categories&item_list_id=categories_coffee&item_list_index=36
7 Days Single Origin Drip Coffee - Fruity,119000,4.9,2600,https://d8g5mz6srwlcs.cloudfront.net/thumbnail/66cd5ba61633e653626779.jpg,/drip-coffee/7-days-single-origin-drip-coffee-fruity?item_list_name=Categories&item_list_id=categories_coffee&item_list_index=37
Toraja Sapan 200g Kopi Arabica,129600,4.9,20300,https://d8g5mz6srwlcs.cloudfront.net/thumbnail/66c835187addc271470098.jpg,/coffee-beans/kopi-arabica-toraja-sapan?item_list_name=Categories&item_list_id=categories_coffee&item_list_index=38
Kopi Kapsul - O10 Arabica Blend Coffee Capsule Nespresso Compatible,74500,5.0,2300,https://d8g5mz6srwlcs.cloudfront.net/thumbnail/6721ec3906556289000316.jpg,/capsules/kopi-kapsul-o10-arabica-blend-coffee-capsule-nespresso-compatible?item_list_name=Categories&item_list_id=categories_coffee&item_list_index=39
